Dataset,Base Model,Predict Func,Average Precision,Coverage Score,Fmeasure Score,Hamming Accuracy,Informedness,Macro F1,Markedness,Micro F1,Negative Predictive Value,One-Error Score,Precision Score,Ranking Loss Score,Recall Score,Subset Accuracy
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,,,50.81 ± 0.04,86.85 ± 0.02,60.78 ± 0.05,30.21 ± 0.14,71.12 ± 0.01,36.77 ± 0.04,92.81 ± 0.01,,49.44 ± 0.03,,55.25 ± 0.06,39.86 ± 0.05
chest_xray_nih__resnet,BR_LogisticRegression,Predict Hamming,,,48.89 ± 0.09,89.72 ± 0.01,55.36 ± 0.05,18.70 ± 0.14,70.84 ± 0.05,22.65 ± 0.16,90.75 ± 0.01,,50.93 ± 0.09,,48.16 ± 0.09,44.93 ± 0.09
chest_xray_nih__resnet,BR_LogisticRegression,Predict Informedness,,,40.92 ± 0.05,82.20 ± 0.02,65.99 ± 0.08,35.19 ± 0.14,67.32 ± 0.02,42.87 ± 0.06,95.12 ± 0.01,,39.52 ± 0.04,,47.26 ± 0.06,21.19 ± 0.08
chest_xray_nih__resnet,BR_LogisticRegression,Predict Markedness,,,49.56 ± 0.09,88.27 ± 0.01,60.30 ± 0.03,29.55 ± 0.04,72.58 ± 0.05,37.77 ± 0.04,92.46 ± 0.00,,52.69 ± 0.10,,49.54 ± 0.10,39.98 ± 0.09
chest_xray_nih__resnet,BR_LogisticRegression,Predict NPV,,,18.89 ± 0.01,22.81 ± 0.01,54.81 ± 0.05,19.46 ± 0.01,55.54 ± 0.01,21.24 ± 0.01,99.19 ± 0.02,,11.90 ± 0.00,,54.16 ± 0.01,0.00 ± 0.00
chest_xray_nih__resnet,BR_LogisticRegression,Predict Precision,,,26.63 ± 0.06,85.29 ± 0.02,59.88 ± 0.03,28.58 ± 0.07,62.97 ± 0.04,36.08 ± 0.07,92.73 ± 0.01,,33.21 ± 0.06,,23.84 ± 0.06,16.31 ± 0.06
chest_xray_nih__resnet,BR_LogisticRegression,Predict Recall,,,17.11 ± 0.00,10.51 ± 0.00,50.00 ± 0.00,18.32 ± 0.00,5.25 ± 0.00,19.02 ± 0.00,0.00 ± 0.00,,10.51 ± 0.00,,54.63 ± 0.00,0.00 ± 0.00
chest_xray_nih__resnet,BR_LogisticRegression,Predict Subset,,,48.89 ± 0.09,89.72 ± 0.01,55.36 ± 0.05,18.70 ± 0.14,70.84 ± 0.05,22.65 ± 0.16,90.75 ± 0.01,,50.93 ± 0.09,,48.16 ± 0.09,44.93 ± 0.09
chest_xray_nih__resnet,BR_RandomForestClassifier,Marginal Scores,84.36 ± 0.04,85.26 ± 0.08,,,,,,,,32.57 ± 0.08,,90.83 ± 0.06,,
chest_xray_nih__resnet,BR_RandomForestClassifier,Predict Fmeasure,,,48.03 ± 0.10,82.42 ± 0.06,60.49 ± 0.10,27.99 ± 0.17,69.37 ± 0.07,33.82 ± 0.18,93.41 ± 0.03,,45.33 ± 0.11,,56.21 ± 0.10,35.70 ± 0.10
chest_xray_nih__resnet,BR_RandomForestClassifier,Predict Hamming,,,47.17 ± 0.14,89.66 ± 0.01,52.13 ± 0.04,8.68 ± 0.14,69.12 ± 0.07,11.68 ± 0.19,90.07 ± 0.01,,48.17 ± 0.13,,46.78 ± 0.15,45.45 ± 0.15
chest_xray_nih__resnet,BR_RandomForestClassifier,Predict Informedness,,,38.08 ± 0.13,79.56 ± 0.04,64.76 ± 0.06,33.15 ± 0.11,65.46 ± 0.07,40.65 ± 0.08,95.38 ± 0.02,,35.54 ± 0.14,,46.64 ± 0.10,16.94 ± 0.15
chest_xray_nih__resnet,BR_RandomForestClassifier,Predict Markedness,,,47.83 ± 0.14,85.60 ± 0.05,60.19 ± 0.04,28.39 ± 0.05,71.46 ± 0.07,36.80 ± 0.10,93.09 ± 0.02,,49.83 ± 0.14,,50.05 ± 0.19,37.03 ± 0.15
chest_xray_nih__resnet,BR_RandomForestClassifier,Predict NPV,,,18.81 ± 0.01,22.72 ± 0.02,53.80 ± 0.14,19.22 ± 0.02,55.34 ± 0.04,21.15 ± 0.02,98.84 ± 0.06,,11.85 ± 0.01,,53.96 ± 0.04,0.00 ± 0.00
chest_xray_nih__resnet,BR_RandomForestClassifier,Predict Precision,,,26.08 ± 0.07,85.13 ± 0.02,58.49 ± 0.08,26.34 ± 0.18,62.61 ± 0.05,35.39 ± 0.08,92.64 ± 0.01,,32.57 ± 0.08,,23.32 ± 0.07,15.89 ± 0.09
chest_xray_nih__resnet,BR_RandomForestClassifier,Predict Recall,,,17.11 ± 0.00,10.51 ± 0.00,50.00 ± 0.00,18.32 ± 0.00,5.25 ± 0.00,19.02 ± 0.00,0.00 ± 0.00,,10.51 ± 0.00,,54.63 ± 0.00,0.00 ± 0.00
chest_xray_nih__resnet,BR_RandomForestClassifier,Predict Subset,,,47.12 ± 0.13,89.66 ± 0.01,52.05 ± 0.03,8.38 ± 0.12,69.07 ± 0.06,11.23 ± 0.15,90.05 ± 0.01,,48.09 ± 0.12,,46.74 ± 0.13,45.48 ± 0.14
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Marginal Scores,82.39 ± 0.08,84.02 ± 0.05,,,,,,,,29.60 ± 0.18,,89.63 ± 0.05,,
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Fmeasure,,,17.13 ± 0.00,10.58 ± 0.01,50.04 ± 0.00,18.33 ± 0.00,5.55 ± 0.03,19.03 ± 0.00,0.58 ± 0.06,,10.52 ± 0.00,,54.63 ± 0.00,0.00 ± 0.00
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,,,46.77 ± 0.20,88.61 ± 0.06,56.04 ± 0.09,20.00 ± 0.30,70.47 ± 0.10,29.70 ± 0.22,91.41 ± 0.02,,49.53 ± 0.19,,46.09 ± 0.20,40.04 ± 0.20
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Informedness,,,24.83 ± 0.06,53.18 ± 0.14,61.00 ± 0.13,24.03 ± 0.11,57.69 ± 0.03,28.38 ± 0.08,97.49 ± 0.02,,17.90 ± 0.05,,48.78 ± 0.07,0.67 ± 0.02
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Markedness,,,22.94 ± 0.04,42.21 ± 0.14,57.11 ± 0.10,20.88 ± 0.03,58.13 ± 0.02,23.89 ± 0.02,97.74 ± 0.03,,18.51 ± 0.01,,47.85 ± 0.12,3.81 ± 0.08
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,,,18.83 ± 0.01,22.74 ± 0.01,54.55 ± 0.09,19.45 ± 0.01,55.39 ± 0.02,21.17 ± 0.01,98.92 ± 0.04,,11.86 ± 0.01,,54.01 ± 0.02,0.00 ± 0.00
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,,,23.43 ± 0.15,84.39 ± 0.04,57.03 ± 0.13,23.39 ± 0.31,60.91 ± 0.10,32.16 ± 0.19,92.22 ± 0.03,,29.60 ± 0.18,,20.83 ± 0.13,13.83 ± 0.10
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Recall,,,17.11 ± 0.00,10.51 ± 0.00,50.00 ± 0.00,18.32 ± 0.00,5.25 ± 0.00,19.02 ± 0.00,0.00 ± 0.00,,10.51 ± 0.00,,54.63 ± 0.00,0.00 ± 0.00
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,,,46.76 ± 0.09,89.46 ± 0.01,53.08 ± 0.09,11.01 ± 0.25,68.81 ± 0.05,11.75 ± 0.22,90.06 ± 0.02,,47.56 ± 0.08,,46.53 ± 0.10,44.92 ± 0.08
chest_xray_nih__resnet,PCC_LogisticRegression,Marginal Scores,84.84 ± 0.03,85.75 ± 0.02,,,,,,,,33.24 ± 0.05,,91.26 ± 0.01,,
chest_xray_nih__resnet,PCC_LogisticRegression,Predict Fmeasure,,,50.47 ± 0.04,87.58 ± 0.01,59.44 ± 0.05,28.23 ± 0.14,70.82 ± 0.02,33.98 ± 0.07,92.28 ± 0.01,,49.37 ± 0.04,,54.08 ± 0.04,41.47 ± 0.06
chest_xray_nih__resnet,PCC_LogisticRegression,Predict Hamming,,,48.89 ± 0.09,89.72 ± 0.01,55.35 ± 0.05,18.69 ± 0.16,70.81 ± 0.05,22.67 ± 0.15,90.75 ± 0.01,,50.86 ± 0.10,,48.20 ± 0.09,44.96 ± 0.10
chest_xray_nih__resnet,PCC_LogisticRegression,Predict Informedness,,,41.29 ± 0.04,82.98 ± 0.01,65.71 ± 0.09,35.17 ± 0.13,67.69 ± 0.01,43.14 ± 0.07,94.92 ± 0.02,,40.46 ± 0.03,,46.76 ± 0.07,22.39 ± 0.06
chest_xray_nih__resnet,PCC_LogisticRegression,Predict Markedness,,,49.92 ± 0.15,88.59 ± 0.02,59.78 ± 0.06,28.74 ± 0.11,72.56 ± 0.08,36.66 ± 0.13,92.26 ± 0.02,,52.87 ± 0.15,,49.82 ± 0.18,41.06 ± 0.10
chest_xray_nih__resnet,PCC_LogisticRegression,Predict NPV,,,18.89 ± 0.01,22.81 ± 0.01,54.81 ± 0.05,19.47 ± 0.01,55.54 ± 0.02,21.24 ± 0.01,99.19 ± 0.03,,11.90 ± 0.00,,54.16 ± 0.01,0.00 ± 0.00
chest_xray_nih__resnet,PCC_LogisticRegression,Predict Precision,,,26.66 ± 0.05,85.30 ± 0.01,59.87 ± 0.02,28.58 ± 0.07,62.99 ± 0.03,36.11 ± 0.06,92.74 ± 0.01,,33.24 ± 0.05,,23.86 ± 0.05,16.33 ± 0.05
chest_xray_nih__resnet,PCC_LogisticRegression,Predict Recall,,,17.11 ± 0.00,10.51 ± 0.00,50.00 ± 0.00,18.32 ± 0.00,5.25 ± 0.00,19.02 ± 0.00,0.00 ± 0.00,,10.51 ± 0.00,,54.63 ± 0.00,0.00 ± 0.00
chest_xray_nih__resnet,PCC_LogisticRegression,Predict Subset,,,48.10 ± 0.06,89.70 ± 0.01,54.24 ± 0.02,15.22 ± 0.07,69.89 ± 0.03,17.37 ± 0.07,90.41 ± 0.00,,49.37 ± 0.06,,47.71 ± 0.06,45.40 ± 0.08
chest_xray_nih__resnet,PCC_RandomForestClassifier,Marginal Scores,84.45 ± 0.09,85.33 ± 0.05,,,,,,,,32.67 ± 0.18,,90.91 ± 0.05,,
chest_xray_nih__resnet,PCC_RandomForestClassifier,Predict Fmeasure,,,48.01 ± 0.08,82.54 ± 0.04,60.33 ± 0.08,27.77 ± 0.10,69.33 ± 0.04,33.50 ± 0.08,93.32 ± 0.02,,45.35 ± 0.06,,56.05 ± 0.15,35.94 ± 0.05
chest_xray_nih__resnet,PCC_RandomForestClassifier,Predict Hamming,,,47.22 ± 0.05,89.67 ± 0.00,52.19 ± 0.02,8.89 ± 0.06,69.15 ± 0.03,11.86 ± 0.12,90.08 ± 0.01,,48.21 ± 0.05,,46.83 ± 0.05,45.49 ± 0.04
chest_xray_nih__resnet,PCC_RandomForestClassifier,Predict Informedness,,,38.26 ± 0.09,79.72 ± 0.05,64.87 ± 0.08,33.39 ± 0.10,65.57 ± 0.06,40.80 ± 0.10,95.38 ± 0.02,,35.76 ± 0.12,,46.75 ± 0.07,17.20 ± 0.12
chest_xray_nih__resnet,PCC_RandomForestClassifier,Predict Markedness,,,48.00 ± 0.14,85.63 ± 0.03,60.23 ± 0.07,28.46 ± 0.12,71.52 ± 0.06,36.84 ± 0.12,93.10 ± 0.03,,49.93 ± 0.10,,50.27 ± 0.18,37.26 ± 0.18
chest_xray_nih__resnet,PCC_RandomForestClassifier,Predict NPV,,,18.82 ± 0.01,22.72 ± 0.02,53.90 ± 0.09,19.22 ± 0.02,55.35 ± 0.04,21.15 ± 0.02,98.85 ± 0.06,,11.85 ± 0.01,,53.97 ± 0.04,0.00 ± 0.00
chest_xray_nih__resnet,PCC_RandomForestClassifier,Predict Precision,,,26.18 ± 0.16,85.16 ± 0.04,58.54 ± 0.11,26.47 ± 0.19,62.67 ± 0.10,35.50 ± 0.19,92.66 ± 0.03,,32.67 ± 0.18,,23.42 ± 0.16,15.99 ± 0.15
chest_xray_nih__resnet,PCC_RandomForestClassifier,Predict Recall,,,17.11 ± 0.00,10.51 ± 0.00,50.00 ± 0.00,18.32 ± 0.00,5.25 ± 0.00,19.02 ± 0.00,0.00 ± 0.00,,10.51 ± 0.00,,54.63 ± 0.00,0.00 ± 0.00
chest_xray_nih__resnet,PCC_RandomForestClassifier,Predict Subset,,,47.09 ± 0.07,89.66 ± 0.01,52.04 ± 0.02,8.36 ± 0.07,69.01 ± 0.03,10.99 ± 0.12,90.04 ± 0.01,,47.98 ± 0.06,,46.75 ± 0.07,45.52 ± 0.05
